input,output,instruction
मैं जब तक chalk धुंडता रेहता था टैब तक घंटी बाज जाति थी break की . . . . सिधा अगले दिन मिल्टा था teacher से ))),neutral,Classify the given article as either positive or negative or mix sentiment.
मेने बास numbering नही की है ..,negative,Classify the given article as either positive or negative or mix sentiment.
भाई जो अप्नो से दुर हो तोह उनका तोह यही एक ज़रिया है touch मे रेहने का,positive,Classify the given article as either positive or negative or mix sentiment.
सलमान भाई मेरी comnt का reply कर्णा plzzzzzzzzz,neutral,Classify the given article as either positive or negative or mix sentiment.
@ someUSER best year ever it will बे ! i अं tossing the idea of हवाई around for mid jan to mid feb . but california dreaming for suuure,neutral,Classify the given article as either positive or negative or mix sentiment.
3.30 का बोला था यार पेलवान आपने,neutral,Classify the given article as either positive or negative or mix sentiment.
"rt @ lindsaypereira : "" dheesh ish nhot ghood . bheef ish phor borship nhot phor cheelee phry ."" - pranab explaining why the # beefban makes sens …",negative,Classify the given article as either positive or negative or mix sentiment.
Mayne kick की बात इक बी film नही डाका सेरिफ आप की film का इंताज़ार हा,positive,Classify the given article as either positive or negative or mix sentiment.
records on the line as world cup race resumes - fabio capello's russia face portugal in the pick of friday's 2014 fi . . . http  URL,neutral,Classify the given article as either positive or negative or mix sentiment.
यार एडमिन सारे कॉलेज में cutoff 100% है क्या या सिर्फ north camp में .. बेचारे दू एडमिन व क्या करे .. देश क सारे बछो को दू में आके ही पधना होता है ... बैक डेन apan 3rd cutoff mein एडमिट हो गए ठे ... बाच गए यार,negative,Classify the given article as either positive or negative or mix sentiment.
you going to rugby practice on sunday # somethingisayalot,neutral,Classify the given article as either positive or negative or mix sentiment.
जो मैंने ले ली थी,neutral,Classify the given article as either positive or negative or mix sentiment.
"first 24 hours in london got given a free rail card , saw 3 squirrels going to work , may have found a home & amp ; there's big alan rickman posters",neutral,Classify the given article as either positive or negative or mix sentiment.
भाई क साठ बात करने को तरस राहा हू यार,neutral,Classify the given article as either positive or negative or mix sentiment.
kejriwal कम बनेगा delhi का,neutral,Classify the given article as either positive or negative or mix sentiment.
